a,pg,aLabel,born,died
http://www.wikidata.org/entity/Q230476,100,Kate Chopin,1850-02-08T00:00:00Z,1904-08-22T00:00:00Z
http://www.wikidata.org/entity/Q231886,2728,Aphra Behn,1640-07-10T00:00:00Z,1689-04-16T00:00:00Z
http://www.wikidata.org/entity/Q235098,25226,Jeanne-Marie Bouvier de La Motte Guyon,1648-04-13T00:00:00Z,1717-06-09T00:00:00Z
http://www.wikidata.org/entity/Q236699,47157,Julian of Norwich,1342-11-16T00:00:00Z,1500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q236699,47157,Julian of Norwich,1343-01-01T00:00:00Z,1500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262145,1775,Fredrika Bremer,1801-08-17T00:00:00Z,1865-12-31T00:00:00Z
http://www.wikidata.org/entity/Q270632,631,Katherine Mansfield,1888-10-14T00:00:00Z,1923-01-09T00:00:00Z
http://www.wikidata.org/entity/Q276013,223,Sara Teasdale,1884-08-08T00:00:00Z,1933-01-29T00:00:00Z
http://www.wikidata.org/entity/Q276028,73,Frances Hodgson Burnett,1849-11-24T00:00:00Z,1924-10-29T00:00:00Z
http://www.wikidata.org/entity/Q287752,27,Charlotte Perkins Gilman,1860-07-03T00:00:00Z,1935-08-17T00:00:00Z
http://www.wikidata.org/entity/Q298152,4336,Grace Aguilar,1816-06-02T00:00:00Z,1847-09-16T00:00:00Z
http://www.wikidata.org/entity/Q433397,26319,Frances Anne Kemble,1809-11-27T00:00:00Z,1893-01-15T00:00:00Z
http://www.wikidata.org/entity/Q437356,2716,Amelia Edwards,1831-06-07T00:00:00Z,1892-04-15T00:00:00Z
http://www.wikidata.org/entity/Q447240,1762,Elinor Glyn,1864-10-17T00:00:00Z,1943-09-23T00:00:00Z
http://www.wikidata.org/entity/Q447268,1090,Dorothy Richardson,1873-05-17T00:00:00Z,1957-06-17T00:00:00Z
http://www.wikidata.org/entity/Q449136,4306,Rhoda Broughton,1840-11-29T00:00:00Z,1920-06-05T00:00:00Z
http://www.wikidata.org/entity/Q460191,1470,Nellie McClung,1873-10-20T00:00:00Z,1951-09-01T00:00:00Z
http://www.wikidata.org/entity/Q469974,1305,Elizabeth Inchbald,1753-10-15T00:00:00Z,1821-08-01T00:00:00Z
http://www.wikidata.org/entity/Q514305,1546,Suelette Dreyfus,2000-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q538786,45121,Marie Tharp,1920-07-30T00:00:00Z,2006-08-23T00:00:00Z
http://www.wikidata.org/entity/Q822155,4017,Julia Pardoe,1806-12-04T00:00:00Z,1862-11-26T00:00:00Z
http://www.wikidata.org/entity/Q1239638,26738,Florence Bell,1851-09-09T00:00:00Z,1930-05-16T00:00:00Z
http://www.wikidata.org/entity/Q1541034,36974,Grace Frank,1886-06-28T00:00:00Z,1978-03-22T00:00:00Z
http://www.wikidata.org/entity/Q2342103,3938,Stella Benson,1892-01-06T00:00:00Z,1933-12-06T00:00:00Z
http://www.wikidata.org/entity/Q2342103,3938,Stella Benson,1892-01-06T00:00:00Z,1933-12-07T00:00:00Z
http://www.wikidata.org/entity/Q2366473,38325,Rachilde,1860-02-11T00:00:00Z,1953-04-04T00:00:00Z
http://www.wikidata.org/entity/Q3051104,54174,Elisabeth Sanxay Holding,1889-06-18T00:00:00Z,1955-02-07T00:00:00Z
http://www.wikidata.org/entity/Q3060264,3071,Eugénie Foa,1796-06-12T00:00:00Z,1852-05-03T00:00:00Z
http://www.wikidata.org/entity/Q3161890,1942,Jane Porter,1776-01-17T00:00:00Z,1850-05-24T00:00:00Z
http://www.wikidata.org/entity/Q3275944,605,Helen Bannerman,1862-02-25T00:00:00Z,1946-10-13T00:00:00Z
http://www.wikidata.org/entity/Q3723416,3274,Elizabeth Robins,1862-08-06T00:00:00Z,1952-05-08T00:00:00Z
http://www.wikidata.org/entity/Q3832544,40628,Lina Eckenstein,1857-09-23T00:00:00Z,1931-05-04T00:00:00Z
http://www.wikidata.org/entity/Q4236309,542,Sara Jeannette Duncan,1861-12-22T00:00:00Z,1922-07-22T00:00:00Z
http://www.wikidata.org/entity/Q4712511,7826,Albion Fellows Bacon,1865-04-08T00:00:00Z,1933-12-10T00:00:00Z
http://www.wikidata.org/entity/Q4767064,7006,Anna Hanson Dorsey,1815-01-01T00:00:00Z,1896-12-26T00:00:00Z
